Year,Region,Technology,Value,Type
2030,DE,P_Biomass,0.0,NewCapacity
2040,DE,P_Biomass,0.0,NewCapacity
2050,DE,P_Biomass,0.0,NewCapacity
2020,DK,P_Biomass,0.0,NewCapacity
2030,DK,P_Biomass,0.0,NewCapacity
2040,DK,P_Biomass,0.0,NewCapacity
2050,DK,P_Biomass,0.0,NewCapacity
2020,FR,P_Biomass,0.0,NewCapacity
2030,FR,P_Biomass,0.0,NewCapacity
2040,FR,P_Biomass,0.0,NewCapacity
2050,FR,P_Biomass,0.0,NewCapacity
2020,NO,P_Biomass,0.0,NewCapacity
2030,NO,P_Biomass,0.0,NewCapacity
2040,NO,P_Biomass,0.0,NewCapacity
2050,NO,P_Biomass,2.6652535958892343,NewCapacity
2020,UK,P_Biomass,0.0,NewCapacity
2030,UK,P_Biomass,0.0,NewCapacity
2040,UK,P_Biomass,0.9992044978386272,NewCapacity
2050,UK,P_Biomass,0.0,NewCapacity
2020,DE,P_Coal_Hardcoal,0.0,NewCapacity
2030,DE,P_Coal_Hardcoal,0.0,NewCapacity
2040,DE,P_Coal_Hardcoal,0.0,NewCapacity
2050,DE,P_Coal_Hardcoal,0.0,NewCapacity
2020,DK,P_Coal_Hardcoal,0.0,NewCapacity
2030,DK,P_Coal_Hardcoal,0.0,NewCapacity
2040,DK,P_Coal_Hardcoal,0.0,NewCapacity
2050,DK,P_Coal_Hardcoal,0.0,NewCapacity
2020,FR,P_Coal_Hardcoal,0.0,NewCapacity
2030,FR,P_Coal_Hardcoal,0.0,NewCapacity
2040,FR,P_Coal_Hardcoal,0.0,NewCapacity
2050,FR,P_Coal_Hardcoal,0.0,NewCapacity
2020,NO,P_Coal_Hardcoal,0.0,NewCapacity
2030,NO,P_Coal_Hardcoal,0.0,NewCapacity
2040,NO,P_Coal_Hardcoal,0.0,NewCapacity
2050,NO,P_Coal_Hardcoal,0.0,NewCapacity
2020,UK,P_Coal_Hardcoal,0.0,NewCapacity
2030,UK,P_Coal_Hardcoal,0.0,NewCapacity
2040,UK,P_Coal_Hardcoal,0.0,NewCapacity
2050,UK,P_Coal_Hardcoal,0.0,NewCapacity
2020,DE,P_Gas_CCGT,0.0,NewCapacity
2030,DE,P_Gas_CCGT,0.0,NewCapacity
2040,DE,P_Gas_CCGT,0.0,NewCapacity
2050,DE,P_Gas_CCGT,0.0,NewCapacity
2020,DK,P_Gas_CCGT,0.0,NewCapacity
2030,DK,P_Gas_CCGT,0.0,NewCapacity
2040,DK,P_Gas_CCGT,0.0,NewCapacity
2050,DK,P_Gas_CCGT,0.0,NewCapacity
2020,FR,P_Gas_CCGT,0.0,NewCapacity
2030,FR,P_Gas_CCGT,0.0,NewCapacity
2040,FR,P_Gas_CCGT,0.0,NewCapacity
2050,FR,P_Gas_CCGT,0.0,NewCapacity
2020,NO,P_Gas_CCGT,0.0,NewCapacity
2030,NO,P_Gas_CCGT,0.0,NewCapacity
2040,NO,P_Gas_CCGT,0.0,NewCapacity
2050,NO,P_Gas_CCGT,0.0,NewCapacity
2020,UK,P_Gas_CCGT,0.0,NewCapacity
2030,UK,P_Gas_CCGT,0.0,NewCapacity
2040,UK,P_Gas_CCGT,0.0,NewCapacity
2050,UK,P_Gas_CCGT,0.0,NewCapacity
2020,DE,P_Gas_CCS,0.0,NewCapacity
2030,DE,P_Gas_CCS,0.0,NewCapacity
2040,DE,P_Gas_CCS,34.62117740236876,NewCapacity
2050,DE,P_Gas_CCS,20.75062646631651,NewCapacity
2020,DK,P_Gas_CCS,0.0,NewCapacity
2030,DK,P_Gas_CCS,0.0,NewCapacity
2040,DK,P_Gas_CCS,0.0,NewCapacity
2050,DK,P_Gas_CCS,2.2467885487824737,NewCapacity
2020,FR,P_Gas_CCS,0.0,NewCapacity
2030,FR,P_Gas_CCS,0.0,NewCapacity
2040,FR,P_Gas_CCS,0.0,NewCapacity
2050,FR,P_Gas_CCS,10.173875573433827,NewCapacity
2020,NO,P_Gas_CCS,0.0,NewCapacity
2030,NO,P_Gas_CCS,0.0,NewCapacity
2040,NO,P_Gas_CCS,0.0,NewCapacity
2050,NO,P_Gas_CCS,0.0,NewCapacity
2020,UK,P_Gas_CCS,0.0,NewCapacity
2030,UK,P_Gas_CCS,0.0,NewCapacity
2040,UK,P_Gas_CCS,10.100627122712652,NewCapacity
2050,UK,P_Gas_CCS,0.0,NewCapacity
2020,DE,P_H2_OCGT,0.0,NewCapacity
2030,DE,P_H2_OCGT,0.0,NewCapacity
2040,DE,P_H2_OCGT,0.0,NewCapacity
2050,DE,P_H2_OCGT,0.0,NewCapacity
2020,DK,P_H2_OCGT,0.0,NewCapacity
2030,DK,P_H2_OCGT,0.0,NewCapacity
2040,DK,P_H2_OCGT,0.0,NewCapacity
2050,DK,P_H2_OCGT,0.0,NewCapacity
