Year,From,To,Hour,Fuel,Value,Technology
2030,FR,UK,23,Power,277.4,Import
2030,FR,UK,23,H2,172.33082070662587,Import
2030,FR,UK,24,Power,173.37547772238523,Import
2030,FR,UK,24,H2,172.33082070662587,Import
2030,FR,UK,25,Power,277.4,Import
2030,FR,UK,25,H2,237.81990741666664,Import
2030,FR,UK,26,Power,277.4,Import
2030,FR,UK,26,H2,107.32596595574093,Import
2030,FR,UK,27,Power,277.4,Import
2030,FR,UK,27,H2,237.81990741666664,Import
2030,FR,UK,28,Power,277.4,Import
2030,FR,UK,28,H2,237.81990741666664,Import
2030,FR,UK,29,Power,277.4,Import
2030,FR,UK,29,H2,456.81990741666664,Import
2030,FR,UK,30,Power,277.4,Import
2030,FR,UK,30,H2,237.81990741666664,Import
2030,FR,UK,31,Power,277.4,Import
2030,FR,UK,31,H2,237.81990741666664,Import
2030,FR,UK,32,Power,277.4,Import
2030,FR,UK,32,H2,237.81990741666664,Import
2030,FR,UK,33,Power,277.4,Import
2030,FR,UK,33,H2,237.81990741666664,Import
2030,FR,UK,34,Power,277.4,Import
2030,FR,UK,34,H2,237.81990741666664,Import
2030,FR,UK,35,Power,277.4,Import
2030,FR,UK,35,H2,237.81990741666664,Import
2030,FR,UK,36,Power,277.4,Import
2030,FR,UK,36,H2,237.81990741666664,Import
2030,FR,UK,37,Power,277.4,Import
2030,FR,UK,37,H2,237.81990741666664,Import
2030,FR,UK,38,Power,277.4,Import
2030,FR,UK,38,H2,237.81990741666664,Import
2030,FR,UK,39,Power,277.4,Import
2030,FR,UK,39,H2,237.81990741666664,Import
2030,FR,UK,40,Power,277.4,Import
2030,FR,UK,40,H2,237.81990741666664,Import
2030,FR,UK,41,Power,277.4,Import
2030,FR,UK,41,H2,237.81990741666664,Import
2030,FR,UK,42,Power,277.4,Import
2030,FR,UK,42,H2,260.87253899561404,Import
2030,FR,UK,43,Power,277.4,Import
2030,FR,UK,43,H2,237.81990741666664,Import
2030,FR,UK,44,Power,277.4,Import
2030,FR,UK,44,H2,237.7485489655328,Import
2030,FR,UK,45,Power,277.4,Import
2030,FR,UK,45,H2,237.81990741666664,Import
2030,FR,UK,46,Power,277.4,Import
2030,FR,UK,46,H2,237.81990741666664,Import
2030,FR,UK,47,Power,277.4,Import
2030,FR,UK,47,H2,237.81990741666664,Import
2030,FR,UK,48,Power,277.4,Import
2030,FR,UK,48,H2,237.81990741666664,Import
2030,FR,UK,49,Power,277.4,Import
2030,FR,UK,49,H2,237.81990741666664,Import
2030,FR,UK,50,Power,277.4,Import
2030,FR,UK,50,H2,237.81990741666664,Import
2030,FR,UK,51,Power,277.4,Import
2030,FR,UK,51,H2,237.81990741666664,Import
2030,FR,UK,52,Power,277.4,Import
2030,FR,UK,52,H2,237.81990741666664,Import
2030,FR,UK,53,Power,277.4,Import
2030,FR,UK,53,H2,237.81990741666664,Import
2030,FR,UK,54,Power,277.4,Import
2030,FR,UK,54,H2,237.81990741666664,Import
2030,FR,UK,55,Power,277.4,Import
2030,FR,UK,55,H2,237.81990741666664,Import
2030,FR,UK,56,Power,277.4,Import
2030,FR,UK,56,H2,237.81990741666664,Import
2030,FR,UK,57,Power,277.4,Import
2030,FR,UK,57,H2,237.81990741666664,Import
2030,FR,UK,58,Power,277.4,Import
2030,FR,UK,58,H2,237.81990741666664,Import
2030,FR,UK,59,Power,277.4,Import
2030,FR,UK,59,H2,237.81990741666664,Import
2030,FR,UK,60,Power,277.4,Import
2030,FR,UK,60,H2,237.81990741666664,Import
2030,FR,UK,61,Power,277.4,Import
2030,FR,UK,61,H2,237.81990741666664,Import
2030,FR,UK,62,Power,277.4,Import
2030,FR,UK,62,H2,237.81990741666664,Import
2030,FR,UK,63,Power,277.4,Import
2030,FR,UK,63,H2,237.81990741666664,Import
2030,FR,UK,64,Power,277.4,Import
2030,FR,UK,64,H2,237.81990741666664,Import
2030,FR,UK,65,Power,277.4,Import
2030,FR,UK,65,H2,237.81990741666664,Import
2030,FR,UK,66,Power,277.4,Import
2030,FR,UK,66,H2,237.81990741666664,Import
2030,FR,UK,67,Power,277.4,Import
2030,FR,UK,67,H2,456.81990741666664,Import
2030,FR,UK,68,Power,277.4,Import
2030,FR,UK,68,H2,237.81990741666664,Import
2030,FR,UK,69,Power,277.4,Import
2030,FR,UK,69,H2,237.81990741666664,Import
2030,FR,UK,70,Power,277.4,Import
2030,FR,UK,70,H2,237.81990741666664,Import
2030,FR,UK,71,Power,277.4,Import
2030,FR,UK,71,H2,237.81990741666664,Import
2030,FR,UK,72,Power,277.4,Import
2030,FR,UK,72,H2,237.81990741666664,Import
2030,FR,UK,73,Power,277.4,Import
2030,FR,UK,73,H2,237.81990741666664,Import
2030,FR,UK,74,Power,277.4,Import
2030,FR,UK,74,H2,237.81990741666664,Import
2030,FR,UK,75,Power,277.4,Import
2030,FR,UK,75,H2,237.81990741666664,Import
2030,FR,UK,76,Power,277.4,Import
2030,FR,UK,76,H2,237.81990741666664,Import
2030,FR,UK,77,Power,277.4,Import
2030,FR,UK,77,H2,237.81990741666664,Import
2030,FR,UK,78,Power,277.4,Import
2030,FR,UK,78,H2,237.81990741666664,Import
2030,FR,UK,79,Power,277.4,Import
2030,FR,UK,79,H2,237.81990741666664,Import
2030,FR,UK,80,Power,277.4,Import
2030,FR,UK,80,H2,237.81990741666664,Import
2030,FR,UK,81,Power,277.4,Import
2030,FR,UK,81,H2,237.81990741666664,Import
2030,FR,UK,82,Power,277.4,Import
2030,FR,UK,82,H2,237.81990741666664,Import
2030,FR,UK,83,Power,277.4,Import
2030,FR,UK,83,H2,237.81990741666664,Import
2030,FR,UK,84,Power,277.4,Import
2030,FR,UK,84,H2,237.81990741666664,Import
2030,FR,UK,85,Power,277.4,Import
2030,FR,UK,85,H2,237.81990741666664,Import
2030,FR,UK,86,Power,277.4,Import
2030,FR,UK,86,H2,237.81990741666664,Import
2030,FR,UK,87,Power,277.4,Import
2030,FR,UK,87,H2,237.81990741666664,Import
2030,FR,UK,88,Power,277.4,Import
2030,FR,UK,88,H2,237.81990741666664,Import
2030,FR,UK,89,Power,277.4,Import
2030,FR,UK,89,H2,237.81990741666664,Import
2030,FR,UK,90,Power,277.4,Import
2030,FR,UK,90,H2,237.81990741666664,Import
2030,FR,UK,91,Power,277.4,Import
2030,FR,UK,91,H2,237.81990741666664,Import
2030,FR,UK,92,Power,277.4,Import
2030,FR,UK,92,H2,237.81990741666664,Import
2030,FR,UK,93,Power,277.4,Import
2030,FR,UK,93,H2,237.81990741666664,Import
2030,FR,UK,94,Power,277.4,Import
2030,FR,UK,94,H2,237.81990741666664,Import
2030,FR,UK,95,Power,277.4,Import
2030,FR,UK,95,H2,237.81990741666664,Import
2030,FR,UK,96,Power,277.4,Import
2030,FR,UK,96,H2,237.81990741666664,Import
2030,FR,UK,97,Power,277.4,Import
2030,FR,UK,97,H2,237.81990741666664,Import
2030,FR,UK,98,Power,277.4,Import
2030,FR,UK,98,H2,237.81990741666664,Import
2030,FR,UK,99,Power,277.4,Import
2030,FR,UK,99,H2,237.81990741666664,Import
2030,FR,UK,100,Power,277.4,Import
2030,FR,UK,100,H2,237.81990741666664,Import
2030,FR,UK,101,Power,277.4,Import
2030,FR,UK,101,H2,237.81990741666664,Import
2030,FR,UK,102,Power,277.4,Import
2030,FR,UK,102,H2,237.81990741666664,Import
2030,FR,UK,103,Power,277.4,Import
2030,FR,UK,103,H2,237.81990741666664,Import
2030,FR,UK,104,Power,277.4,Import
2030,FR,UK,104,H2,237.81990741666664,Import
2030,FR,UK,105,Power,277.4,Import
2030,FR,UK,105,H2,237.81990741666664,Import
2030,FR,UK,106,Power,277.4,Import
2030,FR,UK,106,H2,237.81990741666664,Import
2030,FR,UK,107,Power,277.4,Import
2030,FR,UK,107,H2,237.81990741666664,Import
2030,FR,UK,108,Power,277.4,Import
2030,FR,UK,108,H2,237.81990741666664,Import
2030,FR,UK,109,Power,277.4,Import
2030,FR,UK,109,H2,237.81990741666664,Import
2030,FR,UK,110,Power,277.4,Import
2030,FR,UK,110,H2,237.81990741666664,Import
2030,FR,UK,111,Power,277.4,Import
2030,FR,UK,111,H2,237.81990741666664,Import
2030,FR,UK,112,Power,277.4,Import
2030,FR,UK,112,H2,237.81990741666664,Import
2030,FR,UK,113,Power,277.4,Import
2030,FR,UK,113,H2,237.81990741666664,Import
2030,FR,UK,114,Power,277.4,Import
